Unnamed: 0,Overall rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Population Rank,Percentage,Internet Rank,percentage_non_religious,clusterId
47,48.0,5.973,0.889,1.33,0.736,0.556,0.114,0.12,16624.858,52.0,57.27,107.0,1.5,0
48,49.0,5.956,0.807,1.101,0.474,0.593,0.183,0.089,374.681,174.0,47.08,131.0,0.0,0
49,50.0,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2890.297,115.0,77.62,58.0,9.5,0
50,51.0,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2079.976,123.0,78.89,55.0,30.0,0
51,52.0,5.945,1.116,1.219,0.726,0.528,0.088,0.001,19679.306,45.0,63.75,93.0,0.1,0
52,53.0,5.933,1.148,1.454,0.671,0.363,0.092,0.066,1949.67,125.0,81.32,45.0,24.5,0
53,54.0,5.915,1.294,1.462,0.988,0.553,0.079,0.15,127484.45,5.0,90.87,23.0,77.0,1
54,55.0,5.891,1.09,1.387,0.684,0.584,0.245,0.05,1265.138,146.0,55.56,113.0,0.7,0
55,56.0,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2890.299,129.0,48.78,127.0,3.0,0
56,57.0,5.875,1.266,1.204,0.955,0.244,0.175,0.051,50982.212,16.0,95.1,15.0,52.0,1
57,58.0,5.835,1.229,1.211,0.909,0.495,0.179,0.154,0.0,0.0,0.0,0.0,0.0,0
58,59.0,5.81,1.151,1.479,0.599,0.399,0.065,0.025,143989.754,6.0,76.01,64.0,32.0,0
59,60.0,5.79,1.143,1.516,0.631,0.454,0.148,0.121,18204.499,44.0,76.43,61.0,5.0,0
60,61.0,5.762,1.229,1.191,0.909,0.423,0.202,0.035,1179.551,140.0,80.74,47.0,1.3,0
61,62.0,5.752,0.751,1.223,0.508,0.606,0.141,0.054,11051.6,82.0,43.83,134.0,2.0,0
62,63.0,5.739,1.2,1.532,0.737,0.553,0.086,0.174,1309.632,133.0,88.1,26.0,60.0,1
63,64.0,5.681,0.835,1.522,0.615,0.541,0.162,0.074,6811.297,93.0,61.08,99.0,3.25,0
64,65.0,5.663,0.934,1.249,0.674,0.53,0.092,0.034,32165.485,42.0,48.73,128.0,2.0,0
65,66.0,5.662,0.855,1.23,0.578,0.448,0.274,0.023,0.0,0.0,0.0,0.0,0.0,0
66,67.0,5.64,0.657,1.301,0.62,0.232,0.171,0.0,4051.212,100.0,76.12,63.0,0.1,0
67,68.0,5.636,1.016,1.533,0.517,0.417,0.199,0.037,5758.075,132.0,21.25,175.0,1.7,0
68,69.0,5.62,1.171,1.401,0.732,0.259,0.061,0.022,9721.559,63.0,76.75,60.0,24.7,0
69,70.0,5.566,0.985,1.35,0.553,0.496,0.116,0.148,6374.616,130.0,21.76,173.0,0.2,0
70,71.0,5.524,0.775,1.312,0.513,0.643,0.12,0.105,104918.09,10.0,60.05,103.0,0.1,0
71,72.0,5.504,0.62,1.205,0.622,0.459,0.197,0.074,9265.067,102.0,32.14,151.0,1.1,0
72,73.0,5.483,1.039,1.498,0.7,0.307,0.101,0.154,9468.338,65.0,74.44,69.0,0.0,0
73,74.0,5.483,1.148,1.38,0.686,0.324,0.106,0.109,80745.02,14.0,64.68,89.0,0.0,0
74,75.0,5.472,0.652,0.81,0.424,0.334,0.216,0.113,220800.3,25.0,30.68,184.0,0.2,2
